Player	Team	Pos	1st NHL Seaso	Last NHL Seaso	GP	G	A	P	+/-	PIM	PP	SH	GW	GT	Shots
Bria Dumouli	PIT	D	2013-2014	2014-2015	10	1	1	2	-1	4	0	0	0	0	7
Julie Brouillette	WPG	D	2013-2014	2013-2014	10	1	1	2	3	0	0	0	1	0	4
Brad Hut	EDM	D	2013-2014	2014-2015	10	1	1	2	-8	0	1	0	0	0	10
Garry Swai		C	1968-1969	1968-1969	9	1	1	2	-1	0	0	0	0		17
Pat Neato		D	1993-1994	1993-1994	9	1	1	2	3	12	1	0	0	0	11
Lubomir Vaic		C	1997-1998	1999-2000	9	1	1	2	-2	2	0	0	0	0	10
Chad Wisema		L	2002-2003	2005-2006	9	1	1	2	-1	8	0	0	0	0	5
Justi Mercier		C	2009-2010	2009-2010	9	1	1	2	2	0	0	0	0	0	5
Philip Varoe	BUF	C	2013-2014	2013-2014	9	1	1	2	-3	4	0	0	0	0	15
Joe Levadoski		R	1946-1947	1946-1947	8	1	1	2		0					
Joh Newma		C	1930-1931	1930-1931	8	1	1	2		0					
Frak Sheppard		C	1927-1928	1927-1928	8	1	1	2		0					
Drew Fata		D	2006-2007	2007-2008	8	1	1	2	-3	9	0	0	0	0	5
Rob Collis		R	2005-2006	2005-2006	8	1	1	2	1	0	1	0	0	0	8
Key Agostio	CGY	L	2013-2014	2013-2014	8	1	1	2	-2	0	0	0	0	0	12
Marko Dao	CBJ	C	2014-2015	2014-2015	8	1	1	2	0	0	0	0	0	0	14
Norm Armstrog		R	1962-1963	1962-1963	7	1	1	2		2					
Carl Smith		R	1943-1944	1943-1944	7	1	1	2		2					
Player	Team	Pos	1st NHL Seaso	Last NHL Seaso	GP	G	A	P	+/-	PIM	PP	SH	GW	GT	Shots
Gary Veeruzzo		L	1967-1968	1971-1972	7	1	1	2	0	0	0	0	0		9
Bobby Reyolds		L	1989-1990	1989-1990	7	1	1	2	-3	0	0	0	0	0	13
Richard Yates		C	1983-1984	1983-1984	7	1	1	2	0	4	0	0	0		6
David McItyre		C	2011-2012	2011-2012	7	1	1	2	-1	2	0	0	0	0	6
Bria McKezie		L	1971-1972	1971-1972	6	1	1	2	-2	4	0	0	0		8
Ke Stewart		D	1941-1942	1941-1942	6	1	1	2		2					
Toy Martesso		C	2003-2004	2003-2004	6	1	1	2	-2	0	0	0	0	0	4
Simo Moser	NSH	C	2013-2014	2013-2014	6	1	1	2	0	2	0	0	0	0	7
Jim Haggarty		L	1941-1942	1941-1942	5	1	1	2		0					
Erie Godde		C	1981-1982	1981-1982	5	1	1	2	1	6	0	0	0		5
Todd McLella		C	1987-1988	1987-1988	5	1	1	2	-1	0	0	0	0	0	4
Matthieu Descôteaux		D	2000-2001	2000-2001	5	1	1	2	-2	4	1	0	0	0	6
Da Dorio		C	1985-1986	1987-1988	4	1	1	2	-1	2	0	0	0	0	6
Dallas Gaume		C	1988-1989	1988-1989	4	1	1	2	1	0	0	0	0	0	5
Norm Lowe		C	1949-1950	1949-1950	4	1	1	2		0					
Ted Speers		C	1985-1986	1985-1986	4	1	1	2	2	0	0	0	0		6
Jorda Lavallee-Smotherma		L	2007-2008	2008-2009	4	1	1	2	1	0	0	0	0	0	2
Justi Florek	BOS	L	2013-2014	2013-2014	4	1	1	2	1	0	0	0	0	0	5
Adam Cledeig	CHI	D	2014-2015	2014-2015	4	1	1	2	1	2	1	0	0	0	2
Daiel Pouli		D	1981-1982	1981-1982	3	1	1	2	1	2	0	0	0		8
Lee Sweatt		D	2010-2011	2010-2011	3	1	1	2	4	2	0	0	1	0	4
Rady Macgregor		R	1981-1982	1981-1982	2	1	1	2	2	2	0	0	0		1
Waye Smith		D	1966-1967	1966-1967	2	1	1	2		2					
Damia Surma		L	2002-2003	2003-2004	2	1	1	2	1	0	0	0	0	0	1
Milt Halliday		L	1926-1927	1928-1929	67	1	0	1		4					
Harry Helma		R	1922-1923	1924-1925	44	1	0	1		7					
Reg Reid		L	1924-1925	1925-1926	39	1	0	1		4					
Dea Turer		D	1978-1979	1982-1983	35	1	0	1	-5	59	0	0	0		25
Gerry Muro		D	1924-1925	1925-1926	34	1	0	1		37					
Fred Robertso		D	1931-1932	1933-1934	34	1	0	1		35					
Player	Team	Pos	1st NHL Seaso	Last NHL Seaso	GP	G	A	P	+/-	PIM	PP	SH	GW	GT	Shots
Rya Fli		L	2001-2002	2005-2006	31	1	0	1	0	84	0	0	0	0	15
Jack Dyte		D	1943-1944	1943-1944	27	1	0	1		31					
Phil Steves		C	1917-1918	1925-1926	25	1	0	1		3					
Alexei Kudashov		C	1993-1994	1993-1994	25	1	0	1	-3	4	0	0	0	0	24
Be Walter		C	2005-2006	2009-2010	24	1	0	1	-1	6	1	0	0	0	14
Scott Timmis	NJD	C	2010-2011	2012-2013	24	1	0	1	-10	12	0	0	0	0	19
Claude Robert		L	1950-1951	1950-1951	23	1	0	1		9					
Josh Heessy		C	2006-2007	2011-2012	23	1	0	1	-1	6	0	0	0	0	12
Chris McRae		L	1987-1988	1989-1990	21	1	0	1	0	122	0	0	0	0	1
Bobby Burs		L	1927-1928	1929-1930	20	1	0	1		8					
Howie Mackie		R	1936-1937	1937-1938	20	1	0	1		4					
Michael McHugh		L	1988-1989	1991-1992	20	1	0	1	-8	16	0	0	0	0	12
Cody Goloubef	CBJ	D	2011-2012	2014-2015	20	1	0	1	-3	4	0	0	1	0	20
Camero Gauce	DAL	D	2010-2011	2013-2014	20	1	0	1	-2	23	0	0	0	0	13
Mike Halmo	NYI	L	2013-2014	2013-2014	20	1	0	1	-1	32	0	0	0	0	25
Fred Brow		L	1927-1928	1927-1928	19	1	0	1		0					
Eriah Hayes	SJS	R	2013-2014	2014-2015	19	1	0	1	-4	4	0	0	0	0	27
Marti Greier		D	2001-2002	2006-2007	18	1	0	1	-1	14	0	0	0	0	7
Aleksader Suglobov		R	2003-2004	2006-2007	18	1	0	1	-9	4	1	0	0	0	24
Frak Corrado	VAN	D	2012-2013	2013-2014	18	1	0	1	-3	4	0	0	0	0	24
Russell Walker		R	1976-1977	1977-1978	17	1	0	1	-2	41	0	0	0		12
Kris Verarsky		C	2002-2003	2003-2004	17	1	0	1	-3	2	0	0	0	0	18
Coor James		L	2005-2006	2008-2009	16	1	0	1	-3	2	1	0	0	0	10
Petr Vraa		L	2008-2009	2008-2009	16	1	0	1	-4	2	0	0	0	0	6
Joe Morrow	BOS	D	2014-2015	2014-2015	15	1	0	1	3	4	0	0	0	0	20
Marc Dufour		R	1963-1964	1968-1969	14	1	0	1	-1	2	0	0	0		
Dae Byers		L	2007-2008	2011-2012	14	1	0	1	0	60	0	0	0	0	11
Joh Sleaver		C	1953-1954	1956-1957	13	1	0	1		6					
Charlie Cotch		L	1924-1925	1924-1925	12	1	0	1		0					
Patrick Daley		L	1979-1980	1980-1981	12	1	0	1	-5	13	0	0	0		10
Player	Team	Pos	1st NHL Seaso	Last NHL Seaso	GP	G	A	P	+/-	PIM	PP	SH	GW	GT	Shots
Les Kozak		L	1961-1962	1961-1962	12	1	0	1		2					
Do Smith		L	1919-1920	1919-1920	12	1	0	1		6					
William McCreary		R	1980-1981	1980-1981	12	1	0	1	-6	4	0	0	0		7
Stephae Roy		C	1987-1988	1987-1988	12	1	0	1	-6	0	0	0	0	0	14
Keith Redmod		L	1993-1994	1993-1994	12	1	0	1	-3	20	0	0	0	0	9
Curtis McKezie	DAL	L	2014-2015	2014-2015	12	1	0	1	-7	12	0	0	0	0	16
Tim Armstrog		C	1988-1989	1988-1989	11	1	0	1	-2	6	0	0	0	0	5
Bobby Boucher		C	1923-1924	1923-1924	11	1	0	1		0					
Jimmy Creighto		L	1930-1931	1930-1931	11	1	0	1		2					
Doug Macdoald		L	1992-1993	1994-1995	11	1	0	1	-3	2	0	0	0	0	4
Raymod Sawada		R	2008-2009	2010-2011	11	1	0	1	-1	0	0	0	0	0	5
Greg Rallo		C	2011-2012	2012-2013	11	1	0	1	-5	2	1	0	0	0	11
Brado Gormley	ARI	D	2013-2014	2014-2015	11	1	0	1	4	6	1	0	0	0	11
Frak Kig		C	1950-1951	1950-1951	10	1	0	1		2					
Howard McNamara		D	1919-1920	1919-1920	10	1	0	1		4					
Pat Shea		D	1931-1932	1931-1932	10	1	0	1		0					
Bret Tremblay		D	1978-1979	1979-1980	10	1	0	1	1	6	0	0	0		7
Petr Kako		R	2005-2006	2005-2006	10	1	0	1	1	0	0	0	0	0	7
Carl Kligberg	WPG	L	2010-2011	2013-2014	10	1	0	1	1	4	0	0	0	0	10
Joh Persso	NYI	L	2013-2014	2013-2014	10	1	0	1	-4	6	0	0	0	0	16
Alvi Fisher		R	1924-1925	1924-1925	9	1	0	1		4					
Shaw Evas		D	1985-1986	1989-1990	9	1	0	1	-2	2	1	0	0	0	5
Shaw McCosh		C	1991-1992	1994-1995	9	1	0	1	1	6	0	0	0	0	4
Patrick Davis		R	2008-2009	2009-2010	9	1	0	1	-2	0	0	0	0	0	8
Joh Albert	WPG	C	2013-2014	2013-2014	9	1	0	1	-3	0	0	0	0	0	5
Corba Kight	CGY	C	2013-2014	2014-2015	9	1	0	1	-1	0	0	0	0	0	6
Kella Lai	EDM	L	2013-2014	2013-2014	9	1	0	1	1	21	0	0	0	0	7
Keith Burto		L	1977-1978	1978-1979	8	1	0	1	-5	21	0	0	0		3
Rob Skrlac		L	2003-2004	2003-2004	8	1	0	1	1	22	0	0	1	0	3
Adrei Podkoicky		C	2000-2001	2003-2004	8	1	0	1	-1	2	0	0	0	0	6
Player	Team	Pos	1st NHL Seaso	Last NHL Seaso	GP	G	A	P	+/-	PIM	PP	SH	GW	GT	Shots
Sergei Shirokov		L	2009-2010	2010-2011	8	1	0	1	-3	2	0	0	0	0	10
Craig Cuigham	BOS	R	2013-2014	2014-2015	8	1	0	1	1	0	0	1	0	0	11
Bob Charlebois		L	1967-1968	1967-1968	7	1	0	1	-3	0	1	0	0		8
Da Gratto		C	1987-1988	1987-1988	7	1	0	1	1	5	0	0	0	0	3
Clarece Schmidt		R	1943-1944	1943-1944	7	1	0	1		2					
Joh Purves		R	1990-1991	1990-1991	7	1	0	1	-3	0	0	0	1	0	8
Mike Siltala		R	1981-1982	1987-1988	7	1	0	1	0	2	0	0	0	0	5
Bria Tutt		D	1989-1990	1989-1990	7	1	0	1	-4	2	0	0	0	0	5
Ja Nemecek		D	1998-1999	1999-2000	7	1	0	1	-1	4	0	0	1	0	8
Peter Saro		C	2003-2004	2005-2006	7	1	0	1	2	2	0	0	0	0	5
Joatha Ferlad		R	2005-2006	2005-2006	7	1	0	1	-2	2	0	0	0	0	9
David Liffito		D	2005-2006	2010-2011	7	1	0	1	4	26	0	0	0	0	4
Mike Agelidis	TBL	L	2011-2012	2012-2013	7	1	0	1	-1	5	0	0	0	0	8
Rocco Grimaldi	FLA	C	2014-2015	2014-2015	7	1	0	1	0	4	0	0	0	0	18
Lyle Bradley		C	1973-1974	1976-1977	6	1	0	1	-2	2	1	0	0		10
Sady Beadle		L	1980-1981	1980-1981	6	1	0	1	-2	2	0	0	0		7
Grat Erickso		L	1968-1969	1969-1970	6	1	0	1	-1	0	0	0	0		6
Rod Dallma		L	1987-1988	1991-1992	6	1	0	1	0	26	0	0	0	0	5
Herb Foster		L	1940-1941	1947-1948	6	1	0	1		5					
Pierre-Yves Giroux		C	1982-1983	1982-1983	6	1	0	1	-1	17	0	0	0		1
Berie Morris		C	1924-1925	1924-1925	6	1	0	1		0					
Daiel Lucas		R	1978-1979	1978-1979	6	1	0	1	-2	0	0	0	0		8
Jeff McLea		C	1993-1994	1993-1994	6	1	0	1	1	0	0	0	0	0	5
Petr Hubacek		C	2000-2001	2000-2001	6	1	0	1	-1	2	0	0	0	0	5
Joe Jese		C	2007-2008	2007-2008	6	1	0	1	1	2	0	0	1	0	6
Mario Blizak		C	2009-2010	2010-2011	6	1	0	1	-1	0	0	0	0	0	2
Mike Moore	WSH	D	2010-2011	2010-2011	6	1	0	1	-1	7	0	0	0	0	5
Jarod Palmer		C	2011-2012	2011-2012	6	1	0	1	-2	4	0	0	0	0	14
Austi Watso	NSH	L	2012-2013	2012-2013	6	1	0	1	-2	0	0	0	0	0	4
Dick Behlig		D	1940-1941	1942-1943	5	1	0	1		2					
Player	Team	Pos	1st NHL Seaso	Last NHL Seaso	GP	G	A	P	+/-	PIM	PP	SH	GW	GT	Shots
Bria Carli		L	1971-1972	1971-1972	5	1	0	1	0	0	0	0	0		3
Steve Coates		R	1976-1977	1976-1977	5	1	0	1	-1	24	0	0	0		5
Bob Fryday		R	1949-1950	1951-1952	5	1	0	1		0					
Jim Eis		D	1987-1988	1987-1988	5	1	0	1	0	10	1	0	0	0	9
Roie Rowe		C	1947-1948	1947-1948	5	1	0	1		0					
Robert Laforest		R	1983-1984	1983-1984	5	1	0	1	-3	2	1	0	0		15
Mark Beaufait		C	1992-1993	1992-1993	5	1	0	1	-1	0	0	0	0	0	3
Tomas Divisek		R	2000-2001	2001-2002	5	1	0	1	0	0	0	0	1	0	5
Josh Olso		L	2003-2004	2003-2004	5	1	0	1	1	0	0	0	0	0	6
Iiro Pakarie	EDM	R	2014-2015	2014-2015	5	1	0	1	1	0	0	0	0	0	9
Lloyd Cook		D	1924-1925	1924-1925	4	1	0	1		0					
Hak Damore		C	1943-1944	1943-1944	4	1	0	1		2					
Larry Fulla		L	1974-1975	1974-1975	4	1	0	1	-2	0	1	0	0		5
Doug Horbul		L	1974-1975	1974-1975	4	1	0	1	-3	2	0	0	0		5
Aggie Kukulowicz		C	1952-1953	1953-1954	4	1	0	1		0					
Bobby Rowe		R	1924-1925	1924-1925	4	1	0	1		0					
Bill Sweeey		C	1959-1960	1959-1960	4	1	0	1		0					
Jari Torkki		R	1988-1989	1988-1989	4	1	0	1	-2	0	1	0	0	0	2
Igor Viazmiki		R	1990-1991	1990-1991	4	1	0	1	0	0	0	0	1	0	5
Brady Murray		L	2007-2008	2007-2008	4	1	0	1	-2	6	0	0	0	0	2
Kevi Hederso	NSH	L	2012-2013	2012-2013	4	1	0	1	-1	0	0	0	0	0	3
Kurtis McLea		R	2008-2009	2008-2009	4	1	0	1	1	0	0	0	1	0	5
Justi Hodgma	ARI	C	2014-2015	2014-2015	4	1	0	1	-1	2	1	0	0	0	2
Klas Dahlbeck	CHI	D	2014-2015	2014-2015	4	1	0	1	-1	2	0	0	0	0	4
Kelly Burett		C	1952-1953	1952-1953	3	1	0	1		0					
Ralph Keller		D	1962-1963	1962-1963	3	1	0	1		6					
Pete Leswick		L	1936-1937	1944-1945	3	1	0	1		0					
Tom Marti		R	1967-1968	1967-1968	3	1	0	1	0	0	1	0	0		2
Viktor Nechayev		C	1982-1983	1982-1983	3	1	0	1	1	0	0	0	0		7
Art Ross		D	1917-1918	1917-1918	3	1	0	1		12					
Player	Team	Pos	1st NHL Seaso	Last NHL Seaso	GP	G	A	P	+/-	PIM	PP	SH	GW	GT	Shots
Roy Sommer		C	1980-1981	1980-1981	3	1	0	1	0	7	0	0	0		1
Rya Stewart		C	1985-1986	1985-1986	3	1	0	1	0	0	0	0	0		5
Gary Emmos		C	1993-1994	1993-1994	3	1	0	1	-4	0	1	0	0	0	6
Todd Nelso		D	1991-1992	1993-1994	3	1	0	1	1	2	1	0	1	0	1
Yevgey Shaldybi		D	1996-1997	1996-1997	3	1	0	1	-2	0	0	0	0	0	5
Bjor Meli		R	2006-2007	2006-2007	3	1	0	1	-1	0	0	0	0	0	1
Petteri Wirtae		C	2007-2008	2007-2008	3	1	0	1	1	2	0	0	1	0	1
Corey Elkis		C	2009-2010	2009-2010	3	1	0	1	-2	0	0	0	0	0	5
Travis Turbull		C	2011-2012	2011-2012	3	1	0	1	0	5	0	0	0	0	3
Carter Camper	OTT	C	2011-2012	2011-2012	3	1	0	1	1	0	0	0	0	0	1
George Grigor		C	1943-1944	1943-1944	2	1	0	1		0					
Hickey Nicholso		L	1937-1938	1937-1938	2	1	0	1		0					
Athoy Joseph		R	1988-1989	1988-1989	2	1	0	1	1	0	0	0	0	0	4
Berie Ruelle		L	1943-1944	1943-1944	2	1	0	1		0					
Adam Almquist	DET	D	2013-2014	2013-2014	2	1	0	1	-1	0	0	0	0	0	2
Brya Rust	PIT	R	2014-2015	2014-2015	2	1	0	1	0	4	0	0	0	0	2
Matt Carey	CHI	L	2013-2014	2013-2014	2	1	0	1	-1	2	0	0	0	0	1
Rolly Huard		C	1930-1931	1930-1931	1	1	0	1		0					
Dea Morto		D	1989-1990	1989-1990	1	1	0	1	-1	2	0	0	0	0	2
Brad Fast		D	2003-2004	2003-2004	1	1	0	1	1	0	0	0	0	1	4
Matt Bartkowski	BOS	D	2010-2011	2014-2015	98	0	23	23	18	44	0	0	0	0	122
Steve Halko		D	1997-1998	2002-2003	155	0	15	15	-2	71	0	0	0	0	96
Magus Johasso		D	2007-2008	2007-2008	45	0	14	14	-5	18	0	0	0	0	37
Raymod Giroux		D	1999-2000	2003-2004	38	0	13	13	-6	22	0	0	0	0	63
Rya Spooer	BOS	C	2012-2013	2014-2015	32	0	11	11	-2	6	0	0	0	0	52
Joh Steves		D	1986-1987	1993-1994	53	0	10	10	-1	48	0	0	0	0	25
Marko Kiprusoff		D	1995-1996	2001-2002	51	0	10	10	-3	12	0	0	0	0	53
Tim Jacobs		D	1975-1976	1975-1976	46	0	10	10	-2	35	0	0	0		46
Rickard Rakell	ANA	C	2012-2013	2014-2015	44	0	10	10	-6	10	0	0	0	0	54
Leoard Esau		D	1991-1992	1994-1995	27	0	10	10	-10	24	0	0	0	0	26
Player	Team	Pos	1st NHL Seaso	Last NHL Seaso	GP	G	A	P	+/-	PIM	PP	SH	GW	GT	Shots
Dallas Eakis		D	1992-1993	2001-2002	120	0	9	9	6	208	0	0	0	0	59
Chris Lipuma		D	1992-1993	1996-1997	72	0	9	9	-5	146	0	0	0	0	50
Stu Bickel	MIN	D	2011-2012	2014-2015	71	0	9	9	1	159	0	0	0	0	24
Jevgei Namestikov		D	1993-1994	1999-2000	43	0	9	9	-2	24	0	0	0	0	35
Kimbel Clackso		D	1979-1980	1980-1981	106	0	8	8	-11	370	0	0	0		32
Brett Festerlig		D	2008-2009	2011-2012	88	0	8	8	3	35	0	0	0	0	42
Gasto Therrie		D	1980-1981	1982-1983	22	0	8	8	-3	12	0	0	0		30
Boris Valabik		D	2007-2008	2009-2010	80	0	7	7	-14	210	0	0	0	0	43
Mike McBai		D	1997-1998	1998-1999	64	0	7	7	-21	22	0	0	0	0	39
Marti Marici	EDM	D	2013-2014	2014-2015	56	0	7	7	-6	18	0	0	0	0	38
Myro Stakiewicz		L	1968-1969	1968-1969	35	0	7	7	-13	36	0	0	0		60
Rya Stoe		C	2007-2008	2009-2010	35	0	7	7	2	55	0	0	0	0	33
Do Dietrich		D	1983-1984	1985-1986	28	0	7	7	-9	10	0	0	0		36
Roald Fischer		D	1981-1982	1982-1983	18	0	7	7	-3	6	0	0	0		17
Matt Smaby		D	2007-2008	2010-2011	122	0	6	6	-19	106	0	0	0	0	61
Tim Sestito	NJD	L	2008-2009	2014-2015	87	0	6	6	-11	22	0	0	0	0	54
Todd Rohloff		D	2001-2002	2003-2004	75	0	6	6	-19	40	0	0	0	0	41
Tim Coboy		D	2007-2008	2009-2010	59	0	6	6	-5	121	0	0	0	0	34
Natha Beaulieu	MTL	D	2012-2013	2014-2015	40	0	6	6	9	23	0	0	0	0	42
Joas Holos	COL	D	2010-2011	2010-2011	39	0	6	6	-3	10	0	0	0	0	36
Jarred Tiordi	MTL	D	2012-2013	2014-2015	39	0	6	6	-2	49	0	0	0	0	19
Darryl Laplate		C	1997-1998	1999-2000	35	0	6	6	-2	10	0	0	0	0	21
Matthew Correte	TBL	D	2009-2010	2010-2011	34	0	6	6	-5	68	0	0	0	0	27
Jeff Serowik		D	1990-1991	1998-1999	28	0	6	6	-3	16	0	0	0	0	27
Greg Adrusak		D	1993-1994	1999-2000	28	0	6	6	2	16	0	0	0	0	19
Rolly Roulsto		L	1935-1936	1937-1938	24	0	6	6		10					
Kelly Pratt		R	1974-1975	1974-1975	22	0	6	6	1	15	0	0	0		28
Gordie Dwyer		L	1999-2000	2003-2004	108	0	5	5	-20	394	0	0	0	0	35
Matt Marti		D	1993-1994	1996-1997	76	0	5	5	-11	71	0	0	0	0	53
Ia Herbers		D	1993-1994	1999-2000	65	0	5	5	-12	79	0	0	0	0	30
Player	Team	Pos	1st NHL Seaso	Last NHL Seaso	GP	G	A	P	+/-	PIM	PP	SH	GW	GT	Shots
Ralph MacSwey		D	1967-1968	1971-1972	47	0	5	5	-2	10	0	0	0		24
Michael Chaput	CBJ	C	2013-2014	2014-2015	43	0	5	5	-6	14	0	0	0	0	23
Matthew Block		D	1988-1989	1992-1993	35	0	5	5	-9	97	0	0	0		27
Philip Vo Stefeelli		D	1995-1996	1996-1997	33	0	5	5	-1	23	0	0	0	0	22
Aders Myrvold		D	1995-1996	2003-2004	33	0	5	5	-6	12	0	0	0	0	26
Alex Sigbush		D	1940-1941	1940-1941	32	0	5	5		15					
Craig Mills		R	1995-1996	1998-1999	31	0	5	5	-1	36	0	0	0	0	6
Rady Skarda		D	1989-1990	1991-1992	26	0	5	5	2	11	0	0	0	0	8
Mila Tichy		D	1992-1993	1995-1996	23	0	5	5	9	40	0	0	0	0	19
Joseph Kowal		L	1976-1977	1977-1978	22	0	5	5	3	13	0	0	0		9
Richard Lamby		D	1978-1979	1980-1981	22	0	5	5	-3	22	0	0	0		25
Mila Chalupa		D	1984-1985	1984-1985	14	0	5	5	4	6	0	0	0		10
Petri Kotiola		C	2007-2008	2007-2008	12	0	5	5	5	6	0	0	0	0	13
Ro Shudra		D	1987-1988	1987-1988	10	0	5	5	5	6	0	0	0	0	8
Lou Marco		D	1958-1959	1962-1963	60	0	4	4		42					
Joe Callaha		D	2008-2009	2010-2011	46	0	4	4	5	16	0	0	0	0	27
Ray Schultz		D	1997-1998	2002-2003	45	0	4	4	-1	155	0	0	0	0	12
Grat Marti		D	1983-1984	1986-1987	44	0	4	4	-16	55	0	0	0		18
Joas Roqvist		R	2000-2001	2000-2001	38	0	4	4	-7	14	0	0	0	0	30
Sasha Lakovic		L	1996-1997	1998-1999	37	0	4	4	-1	118	0	0	0	0	22
Walter Kalbfleish		D	1933-1934	1936-1937	36	0	4	4		32					
Joha Larsso	BUF	L	2012-2013	2014-2015	33	0	4	4	-1	19	0	0	0	0	24
Keith Alle		D	1953-1954	1954-1955	28	0	4	4		8					
Jea-Philippe Cote	TBL	D	2005-2006	2013-2014	27	0	4	4	2	26	0	0	0	0	14
Scott Sadeli		D	1986-1987	1991-1992	25	0	4	4	-3	2	0	0	0	0	10
Arto Blomste		D	1993-1994	1995-1996	25	0	4	4	-3	8	0	0	0	0	17
Joby Messier		D	1992-1993	1994-1995	25	0	4	4	1	24	0	0	0	0	22
Joh Newberry		C	1982-1983	1985-1986	22	0	4	4	-1	6	0	0	0		18
Dusti Koh		D	2009-2010	2009-2010	22	0	4	4	-2	4	0	0	0	0	7
Michel Lachace		D	1978-1979	1978-1979	21	0	4	4	-9	22	0	0	0		22
Player	Team	Pos	1st NHL Seaso	Last NHL Seaso	GP	G	A	P	+/-	PIM	PP	SH	GW	GT	Shots
Paul Shakes		D	1973-1974	1973-1974	21	0	4	4	-13	12	0	0	0		29
Zach Hamill		C	2009-2010	2011-2012	20	0	4	4	5	4	0	0	0	0	15
Jacques Lemieux		D	1967-1968	1969-1970	19	0	4	4	3	8	0	0	0		5
Trevor Halverso		R	1998-1999	1998-1999	17	0	4	4	-5	28	0	0	0	0	16
Rick Lessard		D	1988-1989	1991-1992	15	0	4	4	-7	18	0	0	0	0	4
Sergei Petreko		L	1993-1994	1993-1994	14	0	4	4	-3	0	0	0	0	0	7
Jussi Timoe		D	2006-2007	2006-2007	14	0	4	4	-10	6	0	0	0	0	8
Tyler Wotherspoo	CGY	D	2013-2014	2013-2014	14	0	4	4	-3	4	0	0	0	0	3
Norm Burs		C	1941-1942	1941-1942	11	0	4	4		2					
Todd Richards		D	1990-1991	1991-1992	8	0	4	4	-6	4	0	0	0	0	7
Howard Scruto		D	1982-1983	1982-1983	4	0	4	4	-4	9	0	0	0		4
Chris Ahres		D	1972-1973	1977-1978	52	0	3	3	-26	84	0	0	0		26
Bobby Alle		D	2002-2003	2007-2008	51	0	3	3	-3	12	0	0	0	0	24
Carter Ashto	TOR	R	2011-2012	2014-2015	50	0	3	3	-9	32	0	0	0	0	48
Day Richmod		D	2005-2006	2007-2008	49	0	3	3	-12	75	0	0	0	0	28
Colby Robak	ANA	D	2011-2012	2014-2015	44	0	3	3	-5	25	0	0	0	0	37
Jim Krulicki		L	1970-1971	1970-1971	41	0	3	3	-7	6	0	0	0		20
Larry McItyre		D	1969-1970	1972-1973	41	0	3	3	9	26	0	0	0		23
Pierre-Luc Letoureau-Leblod	PIT	R	2008-2009	2013-2014	41	0	3	3	-2	101	0	0	0	0	16
Oleg Mikulchik		D	1993-1994	1995-1996	37	0	3	3	6	33	0	0	0	0	8
James Warer		R	1979-1980	1979-1980	32	0	3	3	-6	10	0	0	0		26
Hugh Cofli		D	1950-1951	1950-1951	31	0	3	3		33					
Norm Ma		R	1935-1936	1940-1941	31	0	3	3		4					
Boyd Kae		L	2003-2004	2009-2010	31	0	3	3	-8	39	0	0	0	0	16
Adrei Bashkirov		L	1998-1999	2000-2001	30	0	3	3	-5	0	0	0	0	0	26
Ed Paagabko		C	1955-1956	1956-1957	29	0	3	3		38					
Assi Melametsa		R	1985-1986	1985-1986	27	0	3	3	-5	2	0	0	0		20
Gregory Tebbutt		D	1979-1980	1983-1984	26	0	3	3	-27	35	0	0	0		38
Leo Queeville		L	1929-1930	1929-1930	25	0	3	3		10					
Joe Matte		D	1929-1930	1942-1943	24	0	3	3		8					
Player	Team	Pos	1st NHL Seaso	Last NHL Seaso	GP	G	A	P	+/-	PIM	PP	SH	GW	GT	Shots
Tim Friday		D	1985-1986	1985-1986	23	0	3	3	-9	6	0	0	0		13
Mario Gialloardo		D	1979-1980	1980-1981	23	0	3	3	-2	6	0	0	0		12
Robert Schabel		D	2001-2002	2003-2004	22	0	3	3	6	34	0	0	0	0	10
Greg Pakewicz		R	1993-1994	1998-1999	21	0	3	3	-1	22	0	0	0	0	13
Alexader Weberg	CBJ	C	2014-2015	2014-2015	21	0	3	3	-14	8	0	0	0	0	19
Larry Bigell		D	1973-1974	1974-1975	20	0	3	3	-3	2	0	0	0		13
Coie Madiga		D	1972-1973	1972-1973	20	0	3	3	1	25	0	0	0		11
Murdo MacKay		R	1945-1946	1948-1949	19	0	3	3		0					
Joel Prpic		C	1997-1998	2000-2001	18	0	3	3	-6	4	0	0	0	0	13
Zach Trotma	BOS	D	2013-2014	2014-2015	18	0	3	3	-1	0	0	0	0	0	31
Timo Parssie		L	2001-2002	2001-2002	17	0	3	3	0	2	0	0	0	0	16
Rob Palmer		C	1973-1974	1975-1976	16	0	3	3	2	2	0	0	0		8
Paul Pooley		C	1984-1985	1985-1986	15	0	3	3	2	0	0	0	0		3
Richard Petiot		D	2005-2006	2010-2011	15	0	3	3	4	25	0	0	0	0	12
Vladimir Mihalik		D	2008-2009	2009-2010	15	0	3	3	-7	8	0	0	0	0	8
Do Gibso		D	1990-1991	1990-1991	14	0	3	3	-1	20	0	0	0	0	9
Roald Hady		L	1984-1985	1987-1988	14	0	3	3	-2	0	0	0	0	0	10
Rya Hamilto	EDM	L	2011-2012	2013-2014	14	0	3	3	-2	2	0	0	0	0	7
Brett Bulmer	MIN	R	2011-2012	2013-2014	14	0	3	3	-1	8	0	0	0	0	14
Brado Maig	PHI	D	2011-2012	2014-2015	12	0	3	3	5	0	0	0	0	0	12
